Institution,Institution_std,Year,Mean_Tone_Score,Median_Tone_Score,[ID],TLO Age,MEDSCHOOL,MEDSCHOOL (cat),STATE,STATE (cat),INSTTYPE,INSTTYPE (cat),Carnegie R1,Carnegie R2,Carnegie Classification (cat),Private,Private (cat),Stem program,Stem program (cat),Urbanicity,Urbanicity (cat),Land-Grant Institution,Land-Grant Institution (cat),Tot Res Exp,tot_res_expend,Tot Lic/Opt Exe,Fed Res Exp,Ind Res Exp,Leg Fees,Reimb Leg Fee,Act Lic,Excl Lic/Opt.,Lic w Equ,Tot Lic Lg Co,Tot Lic Sm Co,Tot Lic St-Ups,Tot Discl Lic,Non-Excl Lic/Opt,Lic Iss,Opt Iss,NEWCOMPSUPP,Lic Inc Equ,Lic $1mm+,Lic Gen Inc,Lic Gen Run Roy,Lic Inc Other,Lic Inc Pd Oth,Net Licensing Income,License Income/Invention Disclosure,Gross Lic Inc,Lic Inc Run Roy,Inv Dis Rec,Fed Disclosure,INVDISRES,New Pat App Fld,For. Pat App Fld,Pro Pat App Fld,Util Pat App Fld,Tot Pat App Fld,Iss US Pat,Iss US Pat_Missing,New Prod,Cum Op St-Ups,St-Ups Cld,St-Ups in Home St,St-Ups Formed,startup_missing,St-Ups w Equ,Lic FTEs,Oth FTEs,Ex Copyright Lic,Ex Oth Non-Open Src Lic,Ex Pat Lic,Non-Ex Copyright Lic,Non-Ex Oth Non-Open Src Lic,Non-Ex Pat Lic,Tot Copyright Lic,Tot Oth Non_Open Src Lic,Tot Pat Lic,Non-Bin Gndr Disc,Non-Bin Gndr Disc (cat),Race Ethnicity,Race Ethnicity (cat),Non-Bin Gndr Pat,Non-Bin Gndr Pat (cat),Race Ethnicity Pat,Race Ethnicity Pat (cat),Institution_std_lower,Flat,Flat (cat),$0-10k,$10-50k,$50-100k,$100-300k,$300-500k,$0.5-1M,>$1M,Royalty Share,royalty_adjusted,royalty_adjusted_numerical,weighted_share,Fee,Lab,Lab (cat),More,More (cat),combinedshare_LS,faculty2,matching,faculty2_corrected,invdisrec,newpatappfld,issuspat,discperfaculty2,appperfac2,issperfac2,Institution Founding Year,Age_of_uni,n_sentences,n_words,supportive_per_1000w,restrictive_per_1000w,sanction_per_1000w,second_person_per_1000w,inclusive_we_per_1000w,obligation_modal_share,mean_sentence_length,long_sentence_share,procedural_share,legalese_per_1000w,iptech_per_1000w,Tone_Index,Clarity_Index,Legal_Load_Index
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,2016,0.403530948,0.450706152,71137,31,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,181309432,,22,176446392,4863040,0,0,,5,5,11,3,8,,14,19,3,0,$0.00 ,1,67,28,"$4,617,043.00 ","$74,779.00 ","$4,793,751.00 ","$119,843.78 ",4793751,176708,40,,,21,0,21,0,67,24,0,1,,,5,8,0,2,3,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,24.00%,0,No,0,No,54.76%,9425,2016Albert Einstein/Yeshiva,199,145,81,49,0.089387916,0.04993394,0.03020695,1886,139,76,2530,2.766798419,21.73913043,0,0,0,0.898876404,33.28947368,0.421052632,0.118421053,2.371541502,53.35968379,-0.574614284,0.345277312,1.069728264
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,2017,0.403530948,0.450706152,71137,32,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,184894950,,22,180347397,4547553,0,0,,5,2,7,10,5,,15,20,2,0,"$414,252.00 ",,74,,"$1,629,098.00 ","$103,887.00 ","$4,641,239.00 ","$89,254.60 ",4641239,2597889,52,,,25,0,25,0,59,14,0,5,,,2,5,0,2,2,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,24.00%,0,No,0,No,54.76%,9767,2017Albert Einstein/Yeshiva,199,226,24,36,0.13932185,0.014795241,0.022192862,1886,139,76,2530,2.766798419,21.73913043,0,0,0,0.898876404,33.28947368,0.421052632,0.118421053,2.371541502,53.35968379,-0.574614284,0.345277312,1.069728264
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,2018,0.380574079,0.417480373,71137,33,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,208009539,,17,190980627,2984980,0,0,,4,1,8,6,3,,13,17,0,,$0.00 ,1,61,24,"$4,044,113.00 ","$52,481.00 ","$4,594,938.00 ","$164,104.93 ",4594938,550825,28,,,17,0,17,0,53,25,0,1,24,0,0,1,0,1,2,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,24.00%,0,No,0,No,54.76%,9767,2018Albert Einstein/Yeshiva,199,280,,34,0.17261115,,0.020959925,1886,139,81,3021,2.317113539,20.19198941,0.33101622,0,0,0.895833333,37.2962963,0.481481481,0.135802469,1.324064879,44.68718967,-0.708635747,0.285767622,0.468460275
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,2019,0.380574079,0.417480373,71137,34,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,182208486,,17,178500000,3708486,0,0,,3,,5,10,1,,12,15,2,, ,0,68,26, , ,"$2,201,452.00 ","$53,693.95 ",2201452,203417,41,,,20,0,20,17,41,16,0,,,,0,1,0,1,2,4,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,24.00%,0,No,0,No,54.76%,10671,2019Albert Einstein/Yeshiva,199,233,51,20,0.14363714,0.03143989,0.012329368,1886,139,81,3021,2.317113539,20.19198941,0.33101622,0,0,0.895833333,37.2962963,0.481481481,0.135802469,1.324064879,44.68718967,-0.708635747,0.285767622,0.468460275
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,2020,0.380574079,0.417480373,71137,35,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,200763240,,31,197300000,3463240,0,0,,5,2,17,9,4,,16,26,5,,"$7,376,035.00 ",1,75,21, , ,"$9,518,848.00 ","$183,054.77 ",9518848,120746,52,,,20,0,20,11,24,20,0,,,,1,4,0,1,4,4,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,24.00%,0,No,0,No,54.76%,9188,2020Albert Einstein/Yeshiva,199,142,44,19,0.08753851,0.02712461,0.011712899,1886,139,81,3021,2.317113539,20.19198941,0.33101622,0,0,0.895833333,37.2962963,0.481481481,0.135802469,1.324064879,44.68718967,-0.708635747,0.285767622,0.468460275
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,2021,0.380574079,0.417480373,95002,36,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,201856459,,29,185000000,3392420,0,0,,9,1,12,15,1,,19,27,2,,"$29,050.00 ",0,73,19, , ,"$2,965,240.00 ","$76,031.79 ",2965240,102253,39,,,35,,35,,,25,0,1,,,1,1,0,1,4,4,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,24.00%,0,No,0,No,54.76%,10596,2021Albert Einstein/Yeshiva,199,153,29,15,0.094319664,0.017877582,0.009247026,1886,139,81,3021,2.317113539,20.19198941,0.33101622,0,0,0.895833333,37.2962963,0.481481481,0.135802469,1.324064879,44.68718967,-0.708635747,0.285767622,0.468460275
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,2022,0.380574079,0.417480373,71137,37,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,224134903,,28,220787747,3347156,0,0,,3,0,,,0,,19,25,3,,"$1,028,961.00 ",1,64,25,"$2,492,561.00 ", ,"$3,721,158.00 ","$132,898.50 ",3721158,199636,28,,,18,,18,,,14,0,2,,,,0,1,,3,4,0,,3,4,15,0,4,15,6,0,No,0,No,0,No,0,No,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,15.00%,0,No,0,No,61.25%,10237,2022Albert Einstein/Yeshiva,199,164,36,22,0.10110082,0.022192862,0.013562305,1886,139,81,3021,2.317113539,20.19198941,0.33101622,0,0,0.895833333,37.2962963,0.481481481,0.135802469,1.324064879,44.68718967,-0.708635747,0.285767622,0.468460275
Albert Einstein/Yeshiva,Albert Einstein/Yeshiva,2023,0.380574079,0.417480373,71137,38,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,233041944,,4,230156781,2885163,0,0,,6,1,,,,,22,28,4,,"$21,259.00 ",0,71,22,"$2,770,446.00 ", ,"$2,991,576.00 ","$119,663.04 ",2991576,199871,25,,,13,,13,,,20,0,,,,1,3,0,1,2,5,0,1,5,7,12,3,7,13,8,,,0,No,,,0,No,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,15.00%,0,No,0,No,61.25%,10472,2023Albert Einstein/Yeshiva,199,111,20,,0.068427995,0.012329368,,1886,139,81,3021,2.317113539,20.19198941,0.33101622,0,0,0.895833333,37.2962963,0.481481481,0.135802469,1.324064879,44.68718967,-0.708635747,0.285767622,0.468460275
Arizona State University,Arizona State University,1993,,,80821,8,1,YES,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,36774154,,6,27077724,3038553,390352,54600,9,,3,,,,,,,,, ,,5,, ,$0.00 ,"$166,552.00 ","$20,929.33 ",502304, ,24,,,6,,,,6,4,0,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,,,,,,,9018,1993Arizona State University,496,,,,,,,1885,140,,,,,,,,,,,,,,,,
Arizona State University,Arizona State University,1994,,,80821,9,1,YES,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,37542853,,5,27306016,2582414,456265,0,10,,3,,,,,,,,, ,,6,, ,$0.00 ,"$418,619.00 ","$33,649.38 ",874884, ,26,,,8,,,,8,5,0,,,,,0,1,,1,1,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,,,,,,,8243,1994Arizona State University,496,,,,,,,1885,140,,,,,,,,,,,,,,,,
Arizona State University,Arizona State University,1995,,,80821,10,1,YES,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,42515322,,1,26703076,3293993,424826,79123,10,,0,,,,,,,,, ,,5,, ,$0.00 ,"($108,082.00)","$10,800.95 ",237621, ,22,,,13,,,,20,8,0,,,,,1,0,,1,1,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,,,,,,,9060,1995Arizona State University,496,,,,,,,1885,140,,,,,,,,,,,,,,,,
Arizona State University,Arizona State University,1996,,,80821,11,1,YES,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,45438269,,10,30110196,3075174,158164,10887,52,10,0,1,6,3,,0,,,,"$70,000.00 ",,9,,$0.00 ,$0.00 ,"$340,360.00 ","$15,238.66 ",487637,417637,32,,,10,,,,12,18,0,,,,,3,0,,1, ,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,,,,,,,9060,1996Arizona State University,496,,,,,,,1885,140,,,,,,,,,,,,,,,,
Arizona State University,Arizona State University,1997,,,80821,12,1,YES,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,47423812,,8,32276390,5560807,409763,123186,24,7,0,5,3,0,,1,,,,$0.00 ,,15,,"$676,500.00 ",$0.00 ,"$444,730.00 ","$14,063.60 ",731307,54807,52,,,13,,,,16,9,0,3,,,1,2,0,,1,3,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,0.00%,0,No,0,No,,8614,1997Arizona State University,496,,,,,,,1885,140,,,,,,,,,,,,,,,,
Arizona State University,Arizona State University,1998,,,80821,13,1,YES,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,49946707,,8,32479629,5766739,521482,47132,32,8,0,3,5,0,,0,,,,$0.00 ,,15,,"$553,215.00 ",$0.00 ,"$128,963.00 ","$10,225.64 ",603313,50098,59,,,58,,,,58,8,0,2,,,,0,1,,1,2,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,,,,,,,9018,1998Arizona State University,496,,,,,,,1885,140,,,,,,,,,,,,,,,,
Arizona State University,Arizona State University,1999,,,80821,14,1,YES,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,60091584,,11,34502517,4883872,547472,172444,39,8,0,1,9,1,,3,,,,$0.00 ,,18,10,"$820,047.00 ",$0.00 ,"$899,117.00 ","$26,002.96 ",1274145,454098,49,,,47,,,,47,12,0,2,6,0,1,1,0,,2,3,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,0.00%,0,No,0,No,,7685,1999Arizona State University,496,,,,,,,1885,140,,,,,,,,,,,,,,,,
Arizona State University,Arizona State University,2000,,,80821,15,1,YES,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,67131948,,10,40527825,7139755,720859,96932,46,8,0,5,2,3,,2,,,,$0.00 ,0,21,10,"$1,092,200.00 ",$1.00 ,"$908,197.00 ","$35,630.79 ",1532124,439924,43,,,31,,,,57,11,0,3,5,0,2,2,0,0,2,3,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,0.00%,0,No,0,No,,7500,2000Arizona State University,496,,,,,,,1885,140,,,,,,,,,,,,,,,,
Arizona State University,Arizona State University,2001,0.465101217,0.494913768,80821,16,1,YES,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,71955391,,11,43929009,7551393,765681,98359,46,8,0,4,6,1,,3,,,,$0.00 ,,20,11,"$1,575,749.00 ", ,"$1,079,209.00 ","$27,289.55 ",1746531,170781,64,,,37,,,,69,15,0,1,7,0,5,5,0,0,2,5,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,0.00%,0,No,0,No,30.00%,7314,2001Arizona State University,496,36,19,0,0.1814059,0.095742,0,1885,140,39,1709,1.170275015,1.170275015,0,0,5.851375073,0.5,43.82051282,0.461538462,0.102564103,0,35.10825044,1.59293093,0.082165683,-0.247218713
Arizona State University,Arizona State University,2002,0.465101217,0.494913768,80821,17,1,YES,4,AZ,0,5U,1,0,R1,0,Public,1,Yes,3,Urban,0,No,77120773,,7,47019677,8068993,1273287,0,42,6,0,2,3,2,,1,,,,$0.00 ,0,20,10,"$1,691,097.00 ",$0.00 ,"$497,055.00 ","$18,250.95 ",1770342,79245,97,,,47,,,,108,11,0,,9,0,3,3,0,0,2,5,,,,,,,,,,,,,,,,,,arizona state university,0,No,50.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,35.43%,39.80%,0.4,,0.00%,0,No,0,No,30.00%,7128,2002Arizona State University,496,44,9,5,0.22171833,0.045351475,0.025195263,1885,140,39,1709,1.170275015,1.170275015,0,0,5.851375073,0.5,43.82051282,0.461538462,0.102564103,0,35.10825044,1.59293093,0.082165683,-0.247218713
